alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL_CD,airfoil,reynolds
-3.0,0.0686,0.01281,0.00555,-0.0827,0.7695,0.025,5.355191256830601,e387,300000
-2.0,0.1767,0.01038,0.00307,-0.0816,0.737,0.1114,17.023121387283236,e387,300000
0.0,0.3992,0.00803,0.00262,-0.0811,0.6821,1.0,49.713574097135734,e387,300000
1.0,0.5086,0.00845,0.00271,-0.0806,0.6575,1.0,60.18934911242605,e387,300000
2.0,0.6185,0.00895,0.00298,-0.0803,0.6345,1.0,69.10614525139665,e387,300000
3.0,0.7278,0.0094,0.00337,-0.0798,0.6082,1.0,77.42553191489361,e387,300000
4.0,0.836,0.00984,0.00382,-0.0791,0.5776,1.0,84.95934959349593,e387,300000
5.0,0.9425,0.0102,0.00437,-0.0781,0.5392,1.0,92.40196078431372,e387,300000
6.0,1.0432,0.01062,0.00483,-0.076,0.4563,1.0,98.22975517890772,e387,300000
7.0,1.1214,0.01355,0.00675,-0.0715,0.2204,1.0,82.76014760147602,e387,300000
8.0,1.1723,0.0193,0.01133,-0.064,0.0239,1.0,60.74093264248704,e387,300000
9.0,1.216,0.02401,0.0164,-0.055,0.019,1.0,50.64556434818825,e387,300000
10.0,1.2456,0.0294,0.02218,-0.046,0.0171,1.0,42.36734693877551,e387,300000
11.0,1.2864,0.03647,0.02969,-0.0398,0.0162,1.0,35.272826981080335,e387,300000
12.0,1.3331,0.0476,0.04182,-0.0345,0.017,1.0,28.0063025210084,e387,300000
-5.0,-0.3622,0.01357,0.00646,-0.0468,0.9726,0.102,-26.69123065585851,naca2412,300000
-4.0,-0.2168,0.0119,0.0051,-0.0543,0.9548,0.1812,-18.218487394957982,naca2412,300000
-3.0,-0.0823,0.01034,0.00417,-0.059,0.932,0.3381,-7.959381044487427,naca2412,300000
-2.0,0.0298,0.00889,0.00348,-0.0583,0.8977,0.5507,3.3520809898762653,naca2412,300000
1.0,0.4048,0.00818,0.00321,-0.0607,0.7249,0.9936,49.48655256723716,naca2412,300000
2.0,0.5181,0.0085,0.00312,-0.0612,0.6474,1.0,60.95294117647058,naca2412,300000
3.0,0.6125,0.00905,0.00335,-0.0577,0.5784,1.0,67.67955801104972,naca2412,300000
4.0,0.706,0.0098,0.0038,-0.0539,0.5086,1.0,72.04081632653062,naca2412,300000
5.0,0.8,0.01064,0.00443,-0.0503,0.4306,1.0,75.18796992481204,naca2412,300000
6.0,0.8923,0.01183,0.00532,-0.0467,0.3327,1.0,75.42688081149619,naca2412,300000
7.0,0.9772,0.01387,0.00682,-0.0424,0.2045,1.0,70.45421773612112,naca2412,300000
8.0,1.0503,0.01706,0.00936,-0.0368,0.0954,1.0,61.56506447831185,naca2412,300000
9.0,1.119,0.02024,0.01253,-0.0305,0.0706,1.0,55.28656126482213,naca2412,300000
10.0,1.178,0.02351,0.01596,-0.023,0.0601,1.0,50.106337728626116,naca2412,300000
11.0,1.2313,0.02727,0.01998,-0.0159,0.0525,1.0,45.15218188485515,naca2412,300000
12.0,1.2774,0.03208,0.02508,-0.0095,0.0461,1.0,39.81920199501248,naca2412,300000
13.0,1.3144,0.038,0.03127,-0.0041,0.0405,1.0,34.589473684210525,naca2412,300000
14.0,1.3389,0.04492,0.03857,-0.0003,0.0358,1.0,29.806322350845946,naca2412,300000
15.0,1.3405,0.0554,0.04965,0.0016,0.032,1.0,24.19675090252708,naca2412,300000
-5.0,-0.1363,0.01408,0.00763,-0.0917,0.9111,0.0476,-9.680397727272727,clarky,400000
-4.0,-0.0316,0.01216,0.00544,-0.0896,0.8807,0.0513,-2.598684210526316,clarky,400000
-3.0,0.0731,0.01072,0.00385,-0.0876,0.8446,0.0609,6.8190298507462686,clarky,400000
-2.0,0.1783,0.00938,0.00284,-0.086,0.8068,0.1738,19.00852878464819,clarky,400000
-1.0,0.2829,0.00837,0.0025,-0.0846,0.7686,0.4306,33.79928315412186,clarky,400000
3.0,0.7384,0.00817,0.0028,-0.0846,0.5814,1.0,90.37943696450428,clarky,400000
4.0,0.8317,0.00897,0.00326,-0.0808,0.5005,1.0,92.72017837235228,clarky,400000
6.0,1.0144,0.01149,0.00504,-0.0736,0.3483,1.0,88.28546562228024,clarky,400000
7.0,1.1099,0.01262,0.00616,-0.071,0.3141,1.0,87.94770206022189,clarky,400000
8.0,1.2019,0.01379,0.00733,-0.068,0.2701,1.0,87.15736040609137,clarky,400000
9.0,1.2814,0.0156,0.00887,-0.0634,0.1853,1.0,82.14102564102565,clarky,400000
10.0,1.3359,0.01865,0.01158,-0.0552,0.1117,1.0,71.63002680965148,clarky,400000
11.0,1.3883,0.02193,0.01476,-0.0479,0.0709,1.0,63.30597355221158,clarky,400000
12.0,1.4058,0.02811,0.0207,-0.0386,0.0214,1.0,50.01067235859125,clarky,400000
13.0,1.4205,0.03558,0.02856,-0.0322,0.0175,1.0,39.92411467116358,clarky,400000
14.0,1.4113,0.0467,0.04012,-0.0285,0.0158,1.0,30.220556745182012,clarky,400000
15.0,1.3806,0.06226,0.05614,-0.0285,0.0149,1.0,22.174751044008993,clarky,400000
-5.0,-0.3251,0.01175,0.00513,-0.0537,0.9641,0.1003,-27.66808510638298,naca2412,400000
-4.0,-0.1885,0.0103,0.00396,-0.0589,0.9466,0.1711,-18.300970873786408,naca2412,400000
-3.0,-0.0748,0.00907,0.00319,-0.0589,0.9156,0.3018,-8.246968026460861,naca2412,400000
3.0,0.6128,0.00822,0.0029,-0.0578,0.5474,1.0,74.54987834549878,naca2412,400000
4.0,0.707,0.00891,0.00331,-0.0542,0.4783,1.0,79.34904601571269,naca2412,400000
5.0,0.8012,0.00976,0.0039,-0.0507,0.3965,1.0,82.09016393442623,naca2412,400000
6.0,0.8945,0.01102,0.00478,-0.0474,0.2942,1.0,81.17059891107077,naca2412,400000
7.0,0.9811,0.0131,0.00627,-0.0435,0.1684,1.0,74.89312977099236,naca2412,400000
8.0,1.0595,0.01592,0.00857,-0.0386,0.0814,1.0,66.55150753768845,naca2412,400000
9.0,1.1375,0.01842,0.01113,-0.0336,0.0617,1.0,61.75352877307275,naca2412,400000
10.0,1.2041,0.02116,0.01404,-0.0271,0.0525,1.0,56.90453686200377,naca2412,400000
11.0,1.2544,0.02463,0.01773,-0.0191,0.0462,1.0,50.92976045473,naca2412,400000
12.0,1.2959,0.02919,0.02249,-0.012,0.0407,1.0,44.395340870161014,naca2412,400000
13.0,1.3356,0.03422,0.02781,-0.0071,0.0358,1.0,39.02980713033313,naca2412,400000
14.0,1.3592,0.04154,0.03555,-0.0035,0.0316,1.0,32.720269619643716,naca2412,400000
15.0,1.3677,0.05122,0.04554,-0.0018,0.0283,1.0,26.70245997657165,naca2412,400000
-5.0,0.1849,0.07262,0.07015,-0.0965,0.8628,0.0229,2.546130542550262,s1223,400000
-4.0,0.3487,0.05433,0.05088,-0.1355,0.695,0.0267,6.418185164734033,s1223,400000
-3.0,0.383,0.04865,0.04452,-0.133,0.5655,0.0291,7.872559095580678,s1223,400000
-2.0,0.8723,0.01604,0.00868,-0.252,0.4931,0.0301,54.382793017456365,s1223,400000
-1.0,1.0279,0.01478,0.0069,-0.261,0.4583,0.0375,69.54668470906631,s1223,400000
0.0,1.1793,0.01458,0.00681,-0.2694,0.4339,0.219,80.88477366255144,s1223,400000
1.0,1.2907,0.01542,0.00754,-0.2687,0.4163,0.3137,83.70298313878081,s1223,400000
2.0,1.4062,0.0162,0.0083,-0.2691,0.4022,0.3715,86.80246913580247,s1223,400000
3.0,1.5254,0.01718,0.00937,-0.2704,0.3903,0.4844,88.78928987194412,s1223,400000
4.0,1.6399,0.01793,0.01065,-0.2707,0.3799,0.7388,91.4612381483547,s1223,400000
5.0,1.7364,0.01887,0.0117,-0.2672,0.3706,1.0,92.01907790143083,s1223,400000
6.0,1.8345,0.02004,0.01291,-0.2644,0.3609,1.0,91.54191616766468,s1223,400000
7.0,1.9314,0.02148,0.01442,-0.2615,0.3503,1.0,89.91620111731844,s1223,400000
8.0,2.0218,0.02298,0.01595,-0.2575,0.3387,1.0,87.98085291557875,s1223,400000
9.0,2.0955,0.02453,0.01779,-0.2503,0.3265,1.0,85.42600896860986,s1223,400000
10.0,2.1621,0.02645,0.01997,-0.2421,0.3115,1.0,81.7429111531191,s1223,400000
11.0,2.2235,0.02879,0.02261,-0.2337,0.2964,1.0,77.2316776658562,s1223,400000
12.0,2.2772,0.03172,0.02587,-0.2246,0.2788,1.0,71.7906683480454,s1223,400000
13.0,2.3163,0.03595,0.03037,-0.2145,0.2547,1.0,64.43115438108484,s1223,400000
14.0,2.3356,0.04263,0.0373,-0.2038,0.2215,1.0,54.78770818672296,s1223,400000
15.0,2.3125,0.05505,0.04988,-0.1929,0.1835,1.0,42.00726612170754,s1223,400000
