airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0,n_points,max_camber,max_camber_loc,max_thickness,max_thickness_loc,le_thickness,te_thickness,camber_at_25,camber_area
clarky,300000,1.4044,13.0,0.00814,84.71486761710794,4.0,0.4298,21,0.03432,0.416,0.11705,0.277,0.09232,0.02777,0.03015,0.02285
e168,300000,1.08,13.0,0.00903,62.37381703470032,7.0,0.0,20,0.0,0.01,0.12442,0.267,0.09764,0.01775,0.0,0.0
e186,300000,0.9942,11.0,0.0092,69.91279069767442,6.0,0.1041,18,0.01312,0.267,0.10263,0.307,0.0743,0.01694,0.01285,0.00702
e193,300000,1.2852,13.0,0.00821,95.33953488372092,6.0,0.4143,19,0.03572,0.406,0.10217,0.317,0.07474,0.01889,0.03057,0.02302
e195,300000,1.2462,15.0,0.00879,93.78983634797588,7.0,0.3517,21,0.03189,0.436,0.11807,0.337,0.08384,0.02089,0.02688,0.02056
e197,300000,1.1949,15.0,0.00967,91.44939965694682,7.0,0.288,21,0.02805,0.436,0.13474,0.347,0.09328,0.02287,0.02308,0.01801
e203,300000,1.235,15.0,0.00976,91.86971235194584,7.0,0.3477,20,0.02673,0.495,0.13622,0.327,0.09452,0.02278,0.01993,0.01799
e207,300000,1.1836,10.0,0.00862,86.30912162162163,7.0,0.2544,20,0.02504,0.386,0.12019,0.297,0.08659,0.02188,0.0228,0.01618
e210,300000,1.4707,11.0,0.00937,93.64201796821008,8.0,0.545,20,0.04015,0.465,0.13636,0.317,0.09748,0.02395,0.03413,0.02889
e214,300000,1.4247,12.0,0.00864,102.59086672879776,5.0,0.5885,18,0.04028,0.525,0.11098,0.327,0.08048,0.01998,0.03281,0.02917
e220,300000,1.1284,14.0,0.00911,88.91838741396263,6.0,0.3016,21,0.02461,0.376,0.11459,0.337,0.08043,0.0223,0.02214,0.01377
e222,300000,1.2838,12.0,0.00822,87.6353591160221,4.0,0.1243,17,0.02518,0.505,0.10165,0.307,0.07723,0.01788,0.0201,0.01801
e228,300000,0.9516,10.0,0.0082,58.16602316602317,5.0,0.3034,14,0.0028,0.317,0.10062,0.287,0.07658,0.01765,0.00271,0.00165
e230,300000,0.8368,9.0,0.00816,45.52356020942409,5.0,0.0303,15,0.00793,0.743,0.09954,0.297,0.07617,0.01755,-0.00355,0.00505
e387,300000,1.3331,12.0,0.00803,98.22975517890772,6.0,0.3992,17,0.03795,0.406,0.09063,0.307,0.06742,0.01308,0.03298,0.0245
e392,300000,1.3786,13.0,0.0082,100.64958828911254,6.0,0.4468,21,0.03836,0.406,0.10148,0.317,0.07362,0.01424,0.03261,0.02576
e395,300000,1.4892,12.0,0.01014,111.4668901927913,6.0,0.7113,21,0.05245,0.525,0.12289,0.297,0.09251,0.01866,0.03849,0.03546
e398,300000,1.5711,10.0,0.01117,104.03047091412742,8.0,0.6867,21,0.05298,0.475,0.14159,0.297,0.10419,0.02004,0.0401,0.03564
e399,300000,1.5639,10.0,0.01132,102.8305785123967,8.0,0.6823,21,0.05135,0.505,0.14833,0.297,0.10825,0.02071,0.03782,0.03459
fx60126,300000,1.5366,15.0,0.00962,90.94931617055512,6.0,0.506,20,0.03563,0.564,0.1259,0.277,0.09707,0.01184,0.02586,0.02488
fx63137,300000,1.7257,15.0,0.01058,103.34061135371178,5.0,0.9058,20,0.05968,0.535,0.13711,0.307,0.10347,0.01217,0.0474,0.04337
fx76mp140,300000,1.6943,14.0,0.01328,105.17216117216115,6.0,0.8227,21,0.0712,0.465,0.14104,0.337,0.10638,0.02074,0.05907,0.0487
goe225,300000,1.865,13.0,0.01148,99.0255376344086,5.0,0.9626,21,0.07621,0.495,0.12825,0.208,0.10773,0.02179,0.05807,0.05132
goe226,300000,1.9234,13.0,0.01212,95.99867724867724,5.0,0.9505,21,0.08074,0.495,0.13886,0.198,0.11592,0.0178,0.06381,0.05392
goe227,300000,1.8441,12.0,0.01261,108.45213849287168,6.0,0.974,21,0.07832,0.505,0.14581,0.248,0.11388,0.01803,0.05921,0.05237
