airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0,n_points,max_camber,max_camber_loc,max_thickness,max_thickness_loc,le_thickness,te_thickness,camber_at_25,camber_area
sd7084,400000,1.216,12.0,0.00866,82.04312114989733,5.0,-0.0434,14,0.02309,0.386,0.09624,0.297,0.07498,0.01895,0.02171,0.01598
ag03,200000,1.1461,10.0,0.0082,60.45627376425856,4.0,-0.0665,17,0.02024,0.327,0.06236,0.248,0.05377,0.0127,0.01973,0.01335
clarky,200000,1.3907,13.0,0.01016,72.8830963665087,5.0,0.4424,21,0.03432,0.416,0.11705,0.277,0.09232,0.02777,0.03015,0.02285
e168,200000,1.0576,12.0,0.01045,53.48329925017041,7.0,0.0,21,0.0,0.01,0.12442,0.267,0.09764,0.01775,0.0,0.0
e174,200000,1.3206,12.0,0.00934,82.52557041699448,6.0,0.4082,19,0.03835,0.406,0.08914,0.307,0.06649,0.01248,0.03324,0.02482
e186,200000,0.9804,10.0,0.01139,59.2528735632184,6.0,0.1164,17,0.01312,0.267,0.10263,0.307,0.0743,0.01694,0.01285,0.00702
e193,200000,1.2783,13.0,0.00956,82.21729490022173,7.0,0.4168,21,0.03572,0.406,0.10217,0.317,0.07474,0.01889,0.03057,0.02302
e195,200000,1.2299,14.0,0.01052,78.85032537960954,7.0,0.412,21,0.03189,0.436,0.11807,0.337,0.08384,0.02089,0.02688,0.02056
e197,200000,1.1896,15.0,0.01185,77.55420054200542,8.0,0.2785,21,0.02805,0.436,0.13474,0.347,0.09328,0.02287,0.02308,0.01801
e203,200000,1.2231,15.0,0.01197,77.19572953736655,7.0,0.3428,21,0.02673,0.495,0.13622,0.327,0.09452,0.02278,0.01993,0.01799
e207,200000,1.1722,14.0,0.01008,73.55140186915887,8.0,0.2977,21,0.02504,0.386,0.12019,0.297,0.08659,0.02188,0.0228,0.01618
e210,200000,1.4735,11.0,0.01131,78.32660126947489,8.0,0.5386,21,0.04015,0.465,0.13636,0.317,0.09748,0.02395,0.03413,0.02889
e214,200000,1.3913,14.0,0.0105,87.44305657604701,6.0,0.5463,21,0.04028,0.525,0.11098,0.327,0.08048,0.01998,0.03281,0.02917
e216,200000,1.5817,14.0,0.01133,99.175,4.0,0.6721,21,0.05169,0.545,0.10419,0.277,0.08178,0.01688,0.03818,0.03695
e220,200000,1.1221,14.0,0.01187,75.80645161290322,7.0,0.3202,21,0.02461,0.376,0.11459,0.337,0.08043,0.0223,0.02214,0.01377
e222,200000,1.2661,12.0,0.00927,76.55737704918033,5.0,0.3138,21,0.02518,0.505,0.10165,0.307,0.07723,0.01788,0.0201,0.01801
e228,200000,0.9282,10.0,0.00938,51.56357388316151,5.0,0.054,20,0.0028,0.317,0.10062,0.287,0.07658,0.01765,0.00271,0.00165
e230,200000,0.8009,9.0,0.00896,41.509584664536746,5.0,-0.0484,15,0.00793,0.743,0.09954,0.297,0.07617,0.01755,-0.00355,0.00505
e387,200000,1.3174,12.0,0.00934,82.47813411078717,7.0,0.4037,18,0.03795,0.406,0.09063,0.307,0.06742,0.01308,0.03298,0.0245
e392,200000,1.3642,13.0,0.00987,86.22463768115942,7.0,0.4489,21,0.03836,0.406,0.10148,0.317,0.07362,0.01424,0.03261,0.02576
e395,200000,1.4887,9.0,0.01333,92.10078534031412,7.0,0.69,21,0.05245,0.525,0.12289,0.297,0.09251,0.01866,0.03849,0.03546
e398,200000,1.5806,10.0,0.01394,84.225580140313,9.0,0.6726,20,0.05298,0.475,0.14159,0.297,0.10419,0.02004,0.0401,0.03564
e399,200000,1.5726,10.0,0.01412,82.85714285714286,9.0,0.6656,21,0.05135,0.505,0.14833,0.297,0.10825,0.02071,0.03782,0.03459
fx60126,200000,1.5381,15.0,0.01191,79.50460014154281,6.0,0.4999,21,0.03563,0.564,0.1259,0.277,0.09707,0.01184,0.02586,0.02488
fx63137,200000,1.6902,15.0,0.01307,90.55248618784532,6.0,0.8835,21,0.05968,0.535,0.13711,0.307,0.10347,0.01217,0.0474,0.04337
fx76mp140,200000,1.688,13.0,0.01917,78.11704834605597,8.0,0.6973,17,0.0712,0.465,0.14104,0.337,0.10638,0.02074,0.05907,0.0487
goe225,200000,1.8528,13.0,0.01422,86.15429573348918,5.0,0.9486,21,0.07621,0.495,0.12825,0.208,0.10773,0.02179,0.05807,0.05132
goe226,200000,1.9266,13.0,0.01501,85.38218572331016,4.0,0.9421,21,0.08074,0.495,0.13886,0.198,0.11592,0.0178,0.06381,0.05392
goe227,200000,1.8552,12.0,0.01564,87.25366876310272,7.0,0.9612,21,0.07832,0.505,0.14581,0.248,0.11388,0.01803,0.05921,0.05237
goe228,200000,1.931,13.0,0.01482,70.56603773584905,5.0,0.8808,21,0.07003,0.495,0.17853,0.297,0.1343,0.02694,0.05819,0.04921
goe535,200000,1.7301,15.0,0.01406,67.61693746922697,7.0,0.6519,20,0.05743,0.495,0.1605,0.267,0.13635,0.02102,0.04887,0.04044
mh32,200000,1.1571,10.0,0.00898,72.07413945278023,5.0,0.331,17,0.02398,0.436,0.08692,0.297,0.06698,0.01532,0.0213,0.01663
mh42,200000,1.088,10.0,0.00866,66.20772946859903,6.0,0.231,20,0.01892,0.376,0.08932,0.287,0.06886,0.01324,0.0175,0.01183
mh43,200000,1.0511,10.0,0.00854,66.25,5.0,0.2078,21,0.01777,0.386,0.08489,0.287,0.06544,0.01127,0.01613,0.01096
mh44,200000,1.1239,12.0,0.00901,60.366972477064216,6.0,0.2182,21,0.01537,0.366,0.09654,0.277,0.07572,0.01612,0.01456,0.00947
mh45,200000,1.1853,13.0,0.00934,60.625,6.0,0.1599,21,0.01706,0.327,0.09842,0.267,0.07856,0.01098,0.01632,0.01008
mh60,200000,1.1547,12.0,0.00952,61.40965732087227,6.0,0.1771,19,0.01818,0.366,0.1008,0.277,0.07953,0.01159,0.01733,0.01087
mh61,200000,1.0088,10.0,0.0101,63.820319059613766,6.0,0.155,20,0.01514,0.366,0.10234,0.277,0.07518,0.0125,0.01378,0.00865
mh62,200000,1.1061,11.0,0.00902,60.411810411810414,6.0,0.167,17,0.01643,0.376,0.09288,0.277,0.07374,0.01076,0.01543,0.00997
mh78,200000,1.2377,12.0,0.01208,42.35646958011997,8.0,0.1161,18,0.02681,0.168,0.14448,0.208,0.12546,0.01768,0.02454,0.01159
naca0010,200000,0.9615,10.0,0.00915,44.34080717488789,4.0,-0.0,19,0.0,0.01,0.09998,0.297,0.07796,0.02413,0.0,0.0
naca0015,200000,1.2061,15.0,0.01073,49.61190168175938,6.0,0.0,21,0.0,0.01,0.14995,0.297,0.11694,0.03618,0.0,0.0
naca1408,200000,0.9464,9.0,0.00829,55.04854368932038,4.0,0.0856,20,0.00998,0.406,0.07999,0.297,0.06241,0.0193,0.0086,0.00666
naca1412,200000,1.2236,13.0,0.01012,57.46122448979592,5.0,0.1299,21,0.00998,0.406,0.11999,0.297,0.09359,0.02895,0.00862,0.00671
naca2408,200000,1.0858,9.0,0.0086,66.55511811023622,4.0,0.245,15,0.01997,0.406,0.08001,0.297,0.06247,0.01933,0.0172,0.01332
naca2410,200000,1.236,11.0,0.00902,67.12211784799317,5.0,0.2938,19,0.01997,0.406,0.10002,0.297,0.07808,0.02416,0.01722,0.01336
naca2412,200000,1.3197,14.0,0.0098,66.6068759342302,6.0,0.286,21,0.01997,0.406,0.11994,0.297,0.0937,0.02898,0.01723,0.01345
naca2415,200000,1.3308,15.0,0.01087,63.97675919948354,7.0,0.2274,21,0.01997,0.406,0.14992,0.297,0.11718,0.03618,0.01732,0.01354
naca2418,200000,1.2905,15.0,0.01214,60.692951015531655,7.0,0.2306,21,0.01997,0.406,0.1799,0.297,0.14066,0.04338,0.01733,0.01364
naca4412,200000,1.4341,15.0,0.01005,78.13151041666666,7.0,0.4937,21,0.03994,0.406,0.12014,0.297,0.0944,0.02928,0.0345,0.02683
naca4415,200000,1.3817,15.0,0.01142,71.02713178294573,6.0,0.4951,21,0.04009,0.406,0.14994,0.307,0.11806,0.03649,0.03462,0.0272
naca4418,200000,1.4598,14.0,0.01275,66.82451253481894,7.0,0.4588,20,0.03995,0.406,0.18012,0.297,0.14155,0.04387,0.03452,0.02726
s1020,200000,1.5011,11.0,0.01391,81.89960068454079,8.0,0.6413,21,0.05048,0.525,0.15091,0.337,0.10294,0.02988,0.0392,0.03546
s1046,200000,1.1102,13.0,0.01286,54.9941037735849,8.0,-0.0,21,0.0,0.01,0.1699,0.307,0.12732,0.0242,0.0,0.0
s1048,200000,1.0077,13.0,0.01123,55.929018789144045,7.0,0.0,21,0.0,0.01,0.13968,0.277,0.10329,0.02096,0.0,0.0
s1210,200000,1.9597,15.0,0.01311,86.28237684103607,6.0,1.0529,21,0.07202,0.515,0.11998,0.218,0.10014,0.00725,0.05568,0.05172
s1221,200000,1.9461,13.0,0.01314,70.0419527078566,11.0,0.6732,21,0.05401,0.525,0.12138,0.218,0.10088,0.00625,0.045,0.04164
s1223,200000,2.2916,13.0,0.01778,73.59284116331096,4.0,1.1864,21,0.0867,0.495,0.12138,0.198,0.10613,0.01116,0.07365,0.06402
s2027,200000,1.3514,12.0,0.01201,69.31449188214071,8.0,0.2842,21,0.02743,0.376,0.14502,0.297,0.10371,0.01944,0.02569,0.01872
s2048,200000,1.1061,9.0,0.00913,75.70378151260503,4.0,0.2356,15,0.01937,0.594,0.08625,0.347,0.064,0.01682,0.01597,0.01433
sd2030,200000,1.1605,10.0,0.00955,76.87174139728884,4.0,0.2505,15,0.02248,0.455,0.08559,0.356,0.06449,0.02065,0.01946,0.01602
sd6060,200000,1.1281,11.0,0.01015,69.54318936877077,6.0,0.267,18,0.01846,0.386,0.10362,0.337,0.07388,0.01807,0.0171,0.0118
sd6080,200000,1.3446,13.0,0.00948,83.2666132906325,6.0,0.409,20,0.03742,0.406,0.09186,0.307,0.07082,0.01327,0.03282,0.02469
sd7003,200000,1.2235,11.0,0.00809,57.99838579499597,5.0,0.0245,20,0.01457,0.337,0.08503,0.248,0.07189,0.01151,0.01391,0.01026
sd7037,200000,1.3301,13.0,0.009,74.56213511259382,5.0,0.3841,21,0.03017,0.406,0.09199,0.287,0.07346,0.01537,0.0271,0.0212
sd7062,200000,1.5895,15.0,0.01127,69.87544483985765,7.0,0.4316,21,0.03968,0.386,0.13977,0.267,0.11223,0.01856,0.0371,0.02748
sd7080,200000,1.2608,12.0,0.00882,69.22693266832917,5.0,0.3404,21,0.02483,0.396,0.09152,0.297,0.07286,0.01582,0.02268,0.01766
sd7084,200000,1.1808,12.0,0.00893,65.56013179571664,5.0,0.3434,18,0.02309,0.386,0.09624,0.297,0.07498,0.01895,0.02171,0.01598
