airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0
s2027,300000,1.3573,12.0,0.0097,82.43571428571428,8.0,0.2941
sd2030,300000,1.2148,12.0,0.00841,87.38406658739595,4.0,0.3631
sd6060,300000,1.1318,12.0,0.00806,81.22844827586208,5.0,0.1683
sd6080,300000,1.3564,14.0,0.00804,97.32710280373833,6.0,0.5114
sd7003,300000,1.2681,12.0,0.00851,66.8502024291498,6.0,-0.2263
sd7037,300000,1.2551,11.0,0.01015,123.29064039408868,10.0,-0.1978
sd7062,300000,1.5861,15.0,0.00949,82.2878787878788,6.0,0.4447
sd7080,300000,1.2812,13.0,0.00829,79.0530303030303,5.0,0.0938
sd7084,300000,1.19,13.0,0.00879,75.09896324222431,5.0,0.0405
ag12,400000,1.1461,10.0,0.00872,107.37118822292324,8.0,-0.1345
clarky,400000,1.4205,13.0,0.00817,92.72017837235228,4.0,0.2829
e168,400000,1.1054,13.0,0.00826,68.30042918454934,7.0,0.0
e186,400000,1.0063,11.0,0.00853,74.56611570247934,6.0,0.0469
e193,400000,1.2918,14.0,0.00833,105.94622543950362,6.0,0.1566
e195,400000,1.2541,15.0,0.0082,103.34710743801654,6.0,0.1143
e197,400000,1.2088,15.0,0.00845,102.33940556088206,7.0,0.2911
e203,400000,1.2457,15.0,0.00878,100.45362903225806,6.0,0.3492
e207,400000,1.2107,13.0,0.00803,95.63958916900093,7.0,0.3959
e210,400000,1.4881,13.0,0.00853,104.45267489711934,7.0,0.5469
e214,400000,1.4576,12.0,0.00806,113.2135523613963,5.0,0.8029
e220,400000,1.1474,14.0,0.00837,98.87677208287896,6.0,0.2422
e222,400000,1.2989,12.0,0.00829,95.8021712907117,4.0,0.0195
e228,400000,0.9704,10.0,0.00844,62.66045548654244,5.0,-0.4463
e230,400000,0.8467,9.0,0.00837,48.055045871559635,5.0,0.297
e392,400000,1.3844,13.0,0.00802,111.95939086294418,6.0,0.2318
e395,400000,1.5205,13.0,0.00898,125.34774436090227,6.0,0.7167
e398,400000,1.5641,10.0,0.00987,118.13953488372094,7.0,0.6912
e399,400000,1.556,10.0,0.00996,116.6199505358615,7.0,0.6853
fx60126,400000,1.5845,15.0,0.00836,98.13471502590674,6.0,0.5074
fx63137,400000,1.766,15.0,0.00928,112.81964436917868,4.0,0.9123
fx66s196,400000,1.4376,10.0,0.01099,93.38870431893687,9.0,0.4564
fx76mp140,400000,1.7143,15.0,0.01065,123.09973045822105,5.0,0.8625
goe225,400000,1.8827,13.0,0.01002,107.90521978021978,6.0,0.968
goe226,400000,1.9272,13.0,0.01082,103.44950213371266,5.0,0.9538
goe227,400000,1.854,11.0,0.01166,118.70615744349182,5.0,0.9778
goe228,400000,1.9194,14.0,0.01063,86.49309912170641,5.0,0.8892
goe535,400000,1.7451,15.0,0.01125,86.04771115409413,7.0,0.6492
mh42,400000,1.1234,11.0,0.00872,83.09633027522936,5.0,-0.156
mh43,400000,1.01,10.0,0.00865,81.75722543352602,5.0,-0.1714
mh44,400000,1.1883,12.0,0.00827,75.53513513513514,5.0,-0.2181
mh45,400000,1.252,13.0,0.0081,76.21197252208047,6.0,-0.1399
mh60,400000,1.2246,12.0,0.00811,77.71653543307086,6.0,-0.1311
mh61,400000,1.0264,11.0,0.00834,78.86694386694387,6.0,-0.2877
mh62,400000,1.1521,12.0,0.00898,75.49951503394762,6.0,-0.2303
mh78,400000,1.4519,15.0,0.00883,65.22129570237331,8.0,-0.0067
naca0010,400000,1.1245,12.0,0.00836,52.28991596638655,4.0,-0.4032
naca0015,400000,1.2398,15.0,0.00831,62.36311239193084,7.0,-0.2093
naca1408,400000,1.0503,10.0,0.0091,61.73626373626373,4.0,-0.2818
naca1412,400000,1.2974,15.0,0.00843,69.80295566502464,5.0,-0.2023
naca2408,400000,1.1755,10.0,0.00807,75.95238095238096,4.0,0.0188
naca2410,400000,1.3225,14.0,0.00849,81.33540372670807,5.0,-0.0864
